name,installed_capacity_MW,annual_generation_MWh,capacity_factor,share_of_generation
solar,21090.155355378225,11743006.56789013,0.06338802168192846,0.37220971290202365
wind_onshore,9107.57612339649,13646168.914590364,0.17057508869345828,0.43253289390136035
wind_offshore,0.0,0.0,,0.0
gas,5340.945087134437,6160260.657519504,0.13130723275030645,0.19525739319661592
