name,installed_capacity_MW,annual_generation_MWh,capacity_factor,share_of_generation
solar,9552.329392502457,8447967.384187713,0.10095755692161605,0.25741016780126647
wind_onshore,9673.525680554201,17004858.95467299,0.20067078009619355,0.5181392633158373
wind_offshore,0.0,0.0,,0.0
gas,5389.372723443779,7366263.351139298,0.1560288527023219,0.22445056888289636
