name,installed_capacity_MW,annual_generation_MWh,capacity_factor,share_of_generation
solar,10592.28516977818,9062918.440939292,0.0974060831621996,0.28061899139754143
wind_onshore,10098.835587784131,14956941.715283219,0.16860838647969115,0.46311813638031446
wind_offshore,0.0,0.0,,0.0
gas,5185.370944777576,8276309.093777489,0.18170402382378958,0.25626287222214406
